gbifID,occurrenceID,kingdom,phylum,class,order,family,genus,species,taxonRank,countryCode,locality,stateProvince,eventDate,taxonKey,speciesKey,basisOfRecord,institutionCode,collectionCode,identifiedBy,dateIdentified,recordedBy
2447219056,8cdfd29a-d0c2-48a0-a2ea-69cbc721e6f7,Fungi,Basidiomycota,Agaricomycetes,Agaricales,,,,ORDER,PH,"Irosin, Mt. Bulusan",Sorsogon,1916-09-01 0:00:00,1499,,PRESERVED_SPECIMEN,F,Botany,,,A. D. E. Elmer
2447218988,47c30eec-c181-42af-9bc4-bed205d978f3,Fungi,Basidiomycota,Agaricomycetes,Agaricales,,,,ORDER,PH,"Irosin, Mt. Bulusan",Sorsogon,1916-09-01 0:00:00,1499,,PRESERVED_SPECIMEN,F,Botany,,,A. D. E. Elmer
2447218973,3b3fb91b-4381-48c2-9fea-59ae2563acda,Fungi,Basidiomycota,Agaricomycetes,Agaricales,,,,ORDER,PH,"Los Banos, Mt. Maquiling",Laguna,1917-06-01 0:00:00,1499,,PRESERVED_SPECIMEN,F,Botany,,,A. D. E. Elmer
2447218967,3843fe3f-ab98-4a91-9133-f830c552af1b,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Schizophyllaceae,Schizophyllum,Schizophyllum commune,SPECIES,PH,"Irosin, Mt. Bulusan",Sorsogon,1916-08-01 0:00:00,5241128,5241128,PRESERVED_SPECIMEN,F,Botany,,,A. D. E. Elmer
2447217962,39fff66b-5e64-4472-9c91-3bd3fda29218,Fungi,Basidiomycota,Agaricomycetes,Agaricales,,,,ORDER,PH,"Irosin, Mt. Bulusan",Sorsogon,1916-09-01 0:00:00,1499,,PRESERVED_SPECIMEN,F,Botany,,,A. D. E. Elmer
2447217124,e85909d8-7ede-4533-911e-77e4580db13a,Fungi,Basidiomycota,Agaricomycetes,Agaricales,,,,ORDER,PH,"Irosin, Mt. Bulusan",Sorsogon,1916-08-01 0:00:00,1499,,PRESERVED_SPECIMEN,F,Botany,,,A. D. E. Elmer
2422951585,https://www.inaturalist.org/observations/32274663,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Schizophyllaceae,Schizophyllum,Schizophyllum commune,SPECIES,PH,,Metropolitan Manila,2019-09-03 16:36:38,5241128,5241128,HUMAN_OBSERVATION,iNaturalist,Observations,Carlos G Velazco-Macias,2019-09-07 16:06:07,Carlos G Velazco-Macias
2270769614,df87d1df-ff2e-498b-a1c0-ba17ed9ccde5,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Hygrophoraceae,Dictyonema,Dictyonema irpicinum,SPECIES,PH,Dumaguete,Visayas,,2523834,5239429,PRESERVED_SPECIMEN,ASU,Lichens,A.C. Herre,,A.C. Herre
2005091089,3bca9ef5-9666-41fb-9223-628a13870964,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Hygrophoraceae,Dictyonema,Dictyonema irpicinum,SPECIES,PH,"Between Durongawan III to Ilalim (bottom of crater), Mt. Banahao",Luzon,1965-05-21 0:00:00,5239429,5239429,PRESERVED_SPECIMEN,TENN,,Isao Yoshimura,,"Z. Iwatsuki, A.J. & Evelyn Sharp"
1999380369,f399df69-9baa-415b-8ed6-8a337e6cb95e,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Hygrophoraceae,Dictyonema,Dictyonema irpicinum,SPECIES,PH,[data not captured],,1904-04-21 0:00:00,2523837,5239429,PRESERVED_SPECIMEN,FH,FH,,,E. B. Copeland
1999368374,f0ce1363-8338-4d13-8b02-6c715ba8df27,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,,,FAMILY,PH,[data not captured],,1933-08-17 0:00:00,4170,,PRESERVED_SPECIMEN,FH,FH,,,J. M. Mendoza
1999248322,d5917dbf-e333-4067-bf13-414614756fde,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,Lycoperdon,,GENUS,PH,"Baguio area, Luzon, P. I.",,1948-06-01 0:00:00,9072221,,PRESERVED_SPECIMEN,FH,FH,,,R. S. Davis
1999167431,c32739c3-e6fc-4e90-93d4-1d9e77b4db5c,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Hygrophoraceae,Dictyonema,Dictyonema irpicinum,SPECIES,PH,[data not captured],,1909-06-01 0:00:00,2523837,5239429,PRESERVED_SPECIMEN,FH,FH,,,R. C. McGregor
1999114580,b741fc8d-c14c-49b1-99d2-8c0674a4802d,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,Cyathus,Cyathus poeppigii,SPECIES,PH,"Manila, Luzon, Manila, P. I.",,1947-10-01 0:00:00,5454216,5454216,PRESERVED_SPECIMEN,FH,FH,,,R. S. Davis
1998850613,7bbbc76a-4142-4faf-9ac8-d6d6aad0624d,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,Cyathus,Cyathus elmeri,SPECIES,PH,"Palo, Leyte",Leyte,1906-01-01 0:00:00,5454177,5454177,PRESERVED_SPECIMEN,FH,FH,,,[no data available]
1998820989,74f1748c-e4a1-4808-bdac-6d2c4a962844,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,Bovista,Bovista pila,SPECIES,PH,Bureau of Science,Manila,1935-05-25 0:00:00,3333348,3333348,PRESERVED_SPECIMEN,FH,FH,,,[no data available]
1998629416,49eff44b-c28a-44e5-9fc4-90d1e87c7313,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,Cyathus,,GENUS,PH,"Alabang, Rizal Province Luzon",Rizal,1935-07-10 0:00:00,7413707,,PRESERVED_SPECIMEN,FH,FH,,,J. M. Mendoza
1998600689,435d2156-84b1-4609-b0e3-06a1599ad29e,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,Cyathus,Cyathus poeppigii,SPECIES,PH,[no additional data],Basilan,1921-06-01 0:00:00,5454216,5454216,PRESERVED_SPECIMEN,FH,FH,,,G. M. Reyes
1998588377,40a009ac-1d47-4b63-b4e9-1120cba4ae38,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,Apioperdon,Apioperdon pyriforme,SPECIES,PH,"Baguio, Mountain Province, Luzon",Benguet,1935-05-16 0:00:00,5243232,10852503,PRESERVED_SPECIMEN,FH,FH,,,W. H. Brown
1998564270,3b18d428-6233-452b-ba69-4a01b964706c,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,Cyathus,Cyathus striatus,SPECIES,PH,"Manila, Luzon",,1934-09-07 0:00:00,5243151,5243151,PRESERVED_SPECIMEN,FH,FH,,,P. S. Gener
1998466747,2534c80d-b82c-4206-979f-cadf32a65e5c,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,Cyathus,Cyathus elmeri,SPECIES,PH,"Palo, Leyte",Leyte,1906-01-01 0:00:00,5454177,5454177,PRESERVED_SPECIMEN,FH,FH,,,[no data available]
1998418086,1a5ba2aa-7ec9-4545-bd93-a9a64840711c,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,Lycoperdon,,GENUS,PH,"Baguio area, northern Luzon province",,1948-05-01 0:00:00,9072221,,PRESERVED_SPECIMEN,FH,FH,,,R. S. Davis
1990330184,c280cc71-6cdd-4686-8fa4-11036db2af30,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Pleurotaceae,Pleurotus,Pleurotus djamor,VARIETY,PH,"Las Banos, See Below",Calabarzon,1989-01-23 0:00:00,3329795,2526599,PRESERVED_SPECIMEN,TENN-F,,,,T. Quimio
