gbifID,kingdom,phylum,class,order,family,genus,species,taxonRank,countryCode,locality,stateProvince,eventDate,taxonKey,speciesKey,basisOfRecord,institutionCode,identifiedBy,dateIdentified,recordedBy
2236098957,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Lythraceae,Lagerstroemia,Lagerstroemia celebica,SPECIES,PH,Forestry Plantation. Makiling National Park. Laguna Province. Luzon.,,1955-04-02 0:00:00,3989386,3989169,PRESERVED_SPECIMEN,US,,,M. Sulit
2236098771,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Melastomataceae,Memecylon,Memecylon lanceolatum,SPECIES,PH,"Davao Province, Mindanao.",Davao,,3865932,3865932,PRESERVED_SPECIMEN,US,,,A. De Mesa
2236098731,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Combretaceae,Terminalia,Terminalia citrina,SPECIES,PH,"The Philippine Islands, Bosoboso, Prov. of Rizal, Luzon.",,,3698399,3698427,PRESERVED_SPECIMEN,US,,,E. D. Merrill
2236098687,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Myrtaceae,Syzygium,Syzygium philippinense,SPECIES,PH,"Tayabas Prov., Luzon.",,,5418897,3182792,PRESERVED_SPECIMEN,US,,,H. M. Curran
2236098331,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Melastomataceae,Melastoma,Melastoma malabathricum,SPECIES,PH,Mt. Marígindon. Catanduanes.,Bicol,1917-11-15 0:00:00,3188511,3188511,PRESERVED_SPECIMEN,US,,,M. Ramos & Chan.
2236098275,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Lythraceae,Duabanga,Duabanga moluccana,SPECIES,PH,"Guinayangan, Province of Tayabas, Luzon.",,,3989316,3989316,PRESERVED_SPECIMEN,US,,,E. Hagger
2236098271,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Melastomataceae,Astronia,Astronia viridifolia,SPECIES,PH,"Tayabas Province, Luzon.",Calabarzon,,5601265,5601265,PRESERVED_SPECIMEN,US,,,C. Cailipan
2236098075,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Melastomataceae,Astronia,Astronia cumingiana,SPECIES,PH,"Baguio, Province of Benguet, Luzon.",Cordillera (Administrative Region),,3870043,3870043,PRESERVED_SPECIMEN,US,,,A. D. E. Elmer
2236097751,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Melastomataceae,Melastoma,Melastoma malabathricum,SUBSPECIES,PH,"Province of Abra, Luzon.",Cordillera (Administrative Region),,5834766,3188511,PRESERVED_SPECIMEN,US,,,M. Ramos
2236097611,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Melastomataceae,Astronia,Astronia cumingiana,SPECIES,PH,Batanes Islands.,,,3870043,3870043,PRESERVED_SPECIMEN,US,,,E. Fénix
2236097599,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Myrtaceae,Decaspermum,Decaspermum fruticosum,SPECIES,PH,"Philippine Islands. Todaya (Mt. Apo), District of Davao. Island of Mindanao.",Davao,,3180140,3180140,PRESERVED_SPECIMEN,US,,,A. D. E. Elmer
2236097396,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Melastomataceae,Astronia,Astronia lagunensis,SPECIES,PH,Mt. Alzapan. Nueva Vizacaya Prov.,Cagayan Valley,,5601360,3869794,PRESERVED_SPECIMEN,US,,,M. Ramos & G. Edaño
2236097009,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Myrtaceae,Syzygium,Syzygium salignum,SPECIES,PH,"Philippine Islands. Irosin (Mt. Bulusan), Province of Sorsogon. Island of Luzon.",,,5419090,3183326,PRESERVED_SPECIMEN,US,,,A. D. E. Elmer
2236096922,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Myrtaceae,Tristaniopsis,Tristaniopsis decorticata,SPECIES,PH,"Lamao Forest Reserve, Bataan Prov., Luzon.",,,3188010,3188010,PRESERVED_SPECIMEN,US,,,H. M. Curran
2236096904,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Melastomataceae,Astronia,Astronia cumingiana,SPECIES,PH,,,,3870043,3870043,PRESERVED_SPECIMEN,US,,,A. Loher
2236096830,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Combretaceae,Terminalia,Terminalia pellucida,SPECIES,PH,"The Philippine Islands, Vicinity of San José. Mindoro.",Mimaropa,,3698837,3698837,PRESERVED_SPECIMEN,US,,,W. Lambert & L. Brunson
2236096721,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Melastomataceae,Medinilla,Medinilla pachygona,SPECIES,PH,"Baguio, Province of Benguet, Luzon.",Cordillera (Administrative Region),,3865507,3865507,PRESERVED_SPECIMEN,US,,,A. D. E. Elmer
2236096319,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Melastomataceae,Astronia,Astronia rolfei,SPECIES,PH,Bohol.,Central Visayas,,5938344,5938344,PRESERVED_SPECIMEN,US,,,M. Ramos
2236096266,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Myrtaceae,Decaspermum,Decaspermum fruticosum,SPECIES,PH,"Province of Benguet, Luzon.",,,3180140,3180140,PRESERVED_SPECIMEN,US,,,P. Barnes
2236096102,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Lythraceae,Lagerstroemia,Lagerstroemia speciosa,SPECIES,PH,"Lamao River, Mt. Mariveles, Province of Bataan, Luzon.",,,3188724,3188724,PRESERVED_SPECIMEN,US,,,H. N. Whitford
2236095744,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Melastomataceae,Astronia,Astronia pulchra,SPECIES,PH,"Irsoin (Mt. Bulusan), Province of Sorsogon, Island of Luzon.",Bicol,,5601349,5601349,PRESERVED_SPECIMEN,US,,,A. D. E. Elmer
2236095507,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Myrtaceae,Syzygium,Syzygium pallidum,SPECIES,PH,"Philippine Islands. Baler, Principe, Luzon.",,,5419488,3184532,PRESERVED_SPECIMEN,US,,,S. Garcia
2236095448,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Myrtaceae,Syzygium,Syzygium mindorense,SPECIES,PH,"Philippine Islands. Puerto Princesa (Mt. Pulgar), Province of Palawan. Island of Palawan.",Mimaropa,,5418967,3182998,PRESERVED_SPECIMEN,US,,,A. D. E. Elmer
2236095178,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Melastomataceae,Medinilla,Medinilla setigera,SPECIES,PH,"Lucban, Province Tayabas, Island Luzon.",Calabarzon,,3866746,3864618,PRESERVED_SPECIMEN,US,,,A. D. E. Elmer
